epoch,loss,val_loss
0,1712.7083853262443,1011.1020874023437
1,947.4965888129341,918.3349975585937
2,879.6154446072048,851.4452880859375
3,742.5082261827257,471.54783935546874
4,172.73544170238353,98.95425109863281
5,82.13153528284144,75.41324768066406
6,67.6335984689218,67.813330078125
7,62.17552764327438,63.333743286132815
8,59.67238320244683,60.59387435913086
9,56.341173807779946,57.408199310302734
10,53.871689831769025,55.27997055053711
11,51.55881740428783,53.73802108764649
12,50.41252955683955,52.57462158203125
13,49.55325331511321,52.24571762084961
14,48.64624334264685,50.80881958007812
15,47.89721609044958,50.07998962402344
0,1794.8848605685764,1029.498046875
1,957.1303620515047,920.6467041015625
2,885.7936446578415,866.6302734375
3,693.1156152795862,254.10599670410156
4,126.71681608977141,86.83729400634766
5,73.00821233678747,67.72458038330078
6,61.122817004168475,60.78623657226562
7,57.1032785486292,58.40126113891601
8,54.63502078586154,56.12351608276367
9,52.798602210150825,54.7898681640625
10,51.362825040464045,53.158983612060545
11,50.2442741394043,52.6112548828125
12,49.05922713103118,51.48828201293945
13,48.095249599880646,50.29954986572265
14,47.39756831416377,49.97303237915039
15,46.77188096223054,49.166717529296875
0,14799930.888888888,9340136.4
1,8318707.648148148,6414349.6
2,3250657.902777778,1109848.075
3,938289.0300925926,853406.8625
4,783164.5972222222,764981.05
5,705860.7523148148,687960.55
6,643086.1666666666,650333.9
7,614688.6620370371,627850.3625
8,593236.7037037037,610181.2
9,577166.2199074074,598052.0375
10,567098.4027777778,589953.225
11,560241.6342592592,584147.25
12,554741.4097222222,579930.4625
13,550527.9606481482,576273.9
14,546232.0439814815,570732.675
15,542470.3680555555,567728.5625
