epoch,loss,psnr,val_loss,val_psnr
0,0.05438284126110375,15.429389334917069,0.01566686909645796,18.050904846191408
1,0.014699640665203333,18.335740976333618,0.013629105873405933,18.660052490234374
2,0.013171034986153246,18.809249687194825,0.012515997886657715,19.03140640258789
3,0.012625055052340031,18.992297067642212,0.011949623748660088,19.22963218688965
4,0.01233237933833152,19.09451605796814,0.011713902093470096,19.31750144958496
5,0.01213405987713486,19.16516707420349,0.012137619033455848,19.161919403076173
6,0.012118036597967148,19.172490577697754,0.012202331610023976,19.140727615356447
7,0.011971298740245401,19.224432353973388,0.011825280636548996,19.276792526245117
8,0.01193037978373468,19.24003275871277,0.01229394618421793,19.106141662597658
9,0.011330827353522182,19.469922618865965,0.011244603991508484,19.4987850189209
10,0.010891478476114571,19.64590507507324,0.011286306194961071,19.48150062561035
11,0.010652461787685752,19.739867868423463,0.011033544689416886,19.57980613708496
12,0.01020729907322675,19.92764594078064,0.010076946951448918,19.971729278564453
13,0.009433236916083842,20.275774126052855,0.01008703988045454,19.984271621704103
14,0.00907275970093906,20.4501434135437,0.009339331462979317,20.298435974121094
15,0.00836620141286403,20.804747915267946,0.009512073267251253,20.258385848999023
16,0.00791603219229728,21.046699705123903,0.008419342245906592,20.78380012512207
17,0.007718337865080685,21.153054218292237,0.007675382308661938,21.16958656311035
18,0.007372933435253799,21.348603630065917,0.006838435493409634,21.703300094604494
19,0.00720277373213321,21.450611295700075,0.0071041002869606015,21.544235610961913
20,0.007171852202154696,21.47844524383545,0.008742689341306686,20.60947608947754
21,0.006821186011657119,21.691612558364866,0.008019479736685754,20.978163528442384
22,0.00692571044433862,21.62237497329712,0.008658385090529918,20.640837097167967
23,0.006829610173590481,21.691160707473756,0.007460133917629719,21.280546188354492
24,0.006788711715489626,21.714212799072264,0.008608084172010422,20.672683334350587
25,0.0067458685208112,21.73617762565613,0.007528377138078213,21.253107452392577
26,0.006702773997094482,21.767149181365966,0.006524542067199946,21.9040470123291
27,0.0067769374209456145,21.718559732437132,0.00786670921370387,21.051950454711914
28,0.006730573480017483,21.75169575691223,0.007027340587228537,21.559516143798827
29,0.006539357544388622,21.87016227722168,0.007022375613451004,21.570331192016603
30,0.006586129821371287,21.84705035209656,0.007455406337976455,21.297467041015626
