epoch,loss,psnr,vae_kl_loss,vae_r_loss,val_loss,val_psnr,val_vae_kl_loss,val_vae_r_loss
0,0.004188881141599268,8.11129138469696,0.5,0.15448304422199727,0.006359539460390806,8.098309898376465,0.5,0.15494317412376404
1,0.004081227636197582,8.089756972789765,0.5,0.15528174348175525,0.006450453959405422,8.193318367004395,0.5,0.151590558886528
2,0.054041436072438956,8.208823957443236,0.5,0.15106162287294864,0.055804771929979326,8.314636421203613,0.5,0.14741418957710267
3,0.10396235223859548,8.210992875099182,0.5,0.15098951809108258,0.10682525038719178,8.21092700958252,0.5,0.15097668766975403
4,0.15397722639143466,8.188650364875793,0.5,0.15176544070243836,0.15572559535503389,8.205545043945312,0.5,0.15116509199142455
5,0.20395987026393414,8.167743959426879,0.5,0.1525013628602028,0.20615355670452118,8.172162818908692,0.5,0.15233094990253448
6,0.25392262130975723,8.13113227367401,0.5,0.15378273844718934,0.2574711561203003,8.061302757263183,0.5,0.15626961886882781
7,0.3039366200566292,8.112286500930786,0.5,0.15445679984986782,0.30619441270828246,8.114539527893067,0.5,0.1543656349182129
8,0.3538841813802719,8.10211874485016,0.5,0.15481248766183853,0.35607839226722715,8.060574150085449,0.5,0.15629545450210572
9,0.40392166703939436,8.066214635372162,0.5,0.15609990909695626,0.4068478226661682,8.0593994140625,0.5,0.15633894503116608
10,0.45390421196818354,8.056767070293427,0.5,0.15643921367824076,0.45607553124427797,8.010956764221191,0.5,0.15809246003627778
11,0.503916442990303,8.060219225883484,0.5,0.15631930328905583,0.507321035861969,8.081308555603027,0.5,0.15555084943771363
12,0.5039389690756798,8.068047182559967,0.5,0.15604599855840207,0.5063787579536438,8.156542015075683,0.5,0.15288148522377015
13,0.5039022547006607,8.047887609004974,0.5,0.15677124448120594,0.5070292115211487,8.020704746246338,0.5,0.15773651301860808
14,0.5039165568351746,8.057928681373596,0.5,0.15639485001564027,0.5058112978935242,8.051655387878418,0.5,0.15661624372005462
15,0.5038921862840653,8.053896477222443,0.5,0.1565426666289568,0.5065195202827454,8.103041076660157,0.5,0.15477509200572967
16,0.5039260590076446,8.04274048089981,0.5,0.15694681726396084,0.5061654925346375,8.111675643920899,0.5,0.15446992218494415
17,0.5039081752300263,8.054199602603912,0.5,0.1565338223427534,0.5058453321456909,7.939883136749268,0.5,0.16070154309272766
18,0.5038953495025634,8.035873644351959,0.5,0.1572073056548834,0.5063807964324951,8.028798389434815,0.5,0.1574454516172409
19,0.5046827790141105,8.053126494884491,0.5007833942770958,0.156573351547122,0.5072505593299865,8.07618350982666,0.5,0.1557358056306839
