epoch,loss,psnr,val_loss,val_psnr
0,1019.7024993896484,12.268218479156495,622.3158813476563,14.639875793457032
1,592.0313513183594,14.966614861488342,562.738671875,15.299528121948242
2,523.824300994873,15.807276082038879,473.8795532226562,16.5213321685791
3,441.39952041625975,17.08056406021118,412.85509033203124,17.614929962158204
4,405.1849084472656,17.778843212127686,390.4233032226563,18.10001564025879
5,392.44626327514646,18.05603066444397,391.1800476074219,18.081573486328125
6,385.15485366821287,18.22492175102234,373.0438659667969,18.519537734985352
7,364.21737579345705,18.75987606048584,352.46070556640626,19.075267028808593
8,323.92032928466796,19.99694314956665,316.12241821289064,20.26126174926758
9,302.93152725219727,20.797928638458252,307.9750610351563,20.568806076049803
10,296.3876419067383,21.08637637138367,292.2034423828125,21.25510940551758
11,289.89288635253905,21.39736678123474,290.78062744140624,21.336493682861327
12,281.591162109375,21.81340362548828,304.09730224609376,20.747027587890624
13,275.53308876037596,22.150306720733642,271.83258056640625,22.37670783996582
14,271.63476409912107,22.38781240463257,268.0939025878906,22.57474250793457
15,267.3591300201416,22.66063606262207,274.272412109375,22.233147048950194
16,263.750959854126,22.886333198547362,293.9689453125,21.18757858276367
17,263.47854270935056,22.914100561141968,254.8410888671875,23.506192016601563
18,259.7875395965576,23.166659469604493,275.236474609375,22.155851745605467
19,258.3281064605713,23.2821382522583,287.166259765625,21.548146438598632
20,256.1066813659668,23.449362335205077,290.1781433105469,21.36700897216797
21,253.56874389648436,23.644537887573243,262.74846801757815,23.12538414001465
22,253.43040817260743,23.669526386260987,284.87217407226564,21.64743576049805
23,252.60843368530274,23.7403995513916,287.6080810546875,21.489584732055665
24,251.35685256958007,23.833435220718385,252.44280090332032,23.715369415283202
25,251.5316778564453,23.83021222114563,278.0447021484375,22.012589263916016
26,249.84970504760742,23.971832189559937,264.23231506347656,22.998421096801756
27,248.86317153930665,24.063493852615355,274.8462646484375,22.326439666748048
28,248.72812171936036,24.08290816307068,263.5239227294922,23.044240188598632
29,246.20370307922363,24.30662302017212,243.20768127441406,24.588130950927734
30,245.98996871948242,24.320875511169433,245.1428009033203,24.369594955444335
