epoch,loss,psnr,vae_kl_loss,vae_mse_loss,val_loss,val_psnr,val_vae_kl_loss,val_vae_mse_loss
0,0.0651564653031528,13.504086480140685,200.0,0.0651564653031528,0.03281608000397682,14.895413208007813,200.0,0.03281608000397682
1,0.018080569873563945,17.514188876152037,200.0,0.018080569873563945,0.014439999125897884,18.405803298950197,200.0,0.014439999125897884
2,20.01341016769409,18.736064395904542,200.0,20.01341016769409,20.012572479248046,19.00857276916504,200.0,20.012572479248046
3,40.01255104064941,19.018786964416503,200.0,40.01255104064941,40.01254043579102,19.019102096557617,200.0,40.01254043579102
4,60.01226968765259,19.11821279525757,200.0,60.01226968765259,60.01244583129883,19.05573844909668,200.0,60.01244583129883
5,80.0121524810791,19.15939893722534,200.0,80.0121524810791,80.01197814941406,19.22079849243164,200.0,80.01197814941406
6,100.01204524993896,19.19920639038086,200.0,100.01204524993896,100.01209716796875,19.175512313842773,200.0,100.01209716796875
7,120.0119157409668,19.24869524002075,200.0,120.0119157409668,120.01169128417969,19.338827514648436,200.0,120.01169128417969
8,140.0119133758545,19.24647386550903,200.0,140.0119133758545,140.01148986816406,19.399536514282225,200.0,140.01148986816406
9,160.01179946899413,19.287600288391115,200.0,160.01179946899413,160.01201477050782,19.205126190185545,200.0,160.01201477050782
10,180.01172355651855,19.318608083724975,200.0,180.01172355651855,180.01196899414063,19.228332901000975,200.0,180.01196899414063
11,200.01187911987304,19.259247951507568,200.0,200.01187911987304,200.01213989257812,19.162620544433594,200.0,200.01213989257812
12,200.01186180114746,19.2659490776062,200.0,200.01186180114746,200.0117980957031,19.28298988342285,200.0,200.0117980957031
13,200.01189971923827,19.25179281234741,200.0,200.01189971923827,200.01178894042968,19.293467330932618,200.0,200.01178894042968
14,200.01184753417968,19.2719291305542,200.0,200.01184753417968,200.0119140625,19.24978370666504,200.0,200.0119140625
15,200.01177040100097,19.299782094955443,200.0,200.01177040100097,200.01205749511718,19.193482971191408,200.0,200.01205749511718
16,200.01182655334472,19.27964970588684,200.0,200.01182655334472,200.0118621826172,19.261511993408202,200.0,200.0118621826172
17,200.01184730529786,19.27060921669006,200.0,200.01184730529786,200.01158447265624,19.37477836608887,200.0,200.01158447265624
18,200.01177444458008,19.298520660400392,200.0,200.01177444458008,200.01175842285156,19.300408554077148,200.0,200.01175842285156
19,200.0118830871582,19.258992547988893,200.0,200.0118830871582,200.01202392578125,19.208669662475586,200.0,200.01202392578125
20,200.01175239562988,19.30605145454407,200.0,200.01175239562988,200.0116973876953,19.325285339355467,200.0,200.0116973876953
21,200.01178901672364,19.29319511413574,200.0,200.01178901672364,200.01224060058593,19.12650260925293,200.0,200.01224060058593
22,200.01179267883302,19.29019594192505,200.0,200.01179267883302,200.01172790527343,19.314434814453126,200.0,200.01172790527343
23,200.01180564880372,19.28702036857605,200.0,200.01180564880372,200.01175231933593,19.30488510131836,200.0,200.01175231933593
24,200.0118324279785,19.276268663406373,200.0,200.0118324279785,200.0113311767578,19.461589050292968,200.0,200.0113311767578
25,200.01178985595703,19.292429838180542,200.0,200.01178985595703,200.0115753173828,19.370064544677735,200.0,200.0115753173828
26,200.0118670654297,19.264263763427735,200.0,200.0118670654297,200.0118377685547,19.274135208129884,200.0,200.0118377685547
27,200.01176971435547,19.30122667312622,200.0,200.01176971435547,200.01130065917968,19.475750732421876,200.0,200.01130065917968
28,200.01185722351073,19.267329111099244,200.0,200.01185722351073,200.01200256347656,19.210437774658203,200.0,200.01200256347656
29,200.01171241760255,19.321848268508912,200.0,200.01171241760255,200.01163024902343,19.344678115844726,200.0,200.01163024902343
30,200.01169021606447,19.329658584594725,200.0,200.01169021606447,200.011865234375,19.26304702758789,200.0,200.011865234375
